,PESR012 - Relatorio Geral de Pessoa,,,,,,,,,,,,,,
1095,BUTIK BOLSAS CALCADOS E ACESSORIOS LTDA ME,J,"R CORONEL AGOSTINHO,81",RIO DE JANEIRO / RJ,2124158545,04.775.718/0001-00,77281940,,CAMPO GRANDE,LOJA 06,23050360,Ativo / Ativo,butik.malas@hotmail.com,,
1096,TPL LOGISTICA NORTE LTDA,J,"EST ALBERTO HINOTO,4599",ITAQUAQUECETUBA / SP,1149706903,97.519.146/0002-60,796348278111,,UNA,,8586260,Ativo / Ativo,comercial.pa@tpllogistica.com.br,,
1097,APPI - COMERCIO DE TECIDOS LTDA,J,"R BARAO DO RIO BRANCO,329",CURITIBA / PR,4132324848,00.961.733/0001-92,1370245432,,CENTRO,,80010180,Ativo / Inativo,infantex@bol.com.br,,
1098,TECIDOS AVENIDA LTDA,J,"AV GETULIO VARGAS,253",JOINVILLE / SC,4733437327,85.191.138/0001-78,252372425,,BUCAREIN,,89202205,Ativo / Ativo,paulopiseta@hotmail.com,,
1099,M DAS DORES SARAIVA,J,"AV GOVERNADOR MAGALHAES BARATA,568",BELEM / PA,9198222610,09.334.873/0001-05,152693572,,NAZARE,,66040170,Ativo / Inativo,assis_contador@hotmail.com,,
1100,J L G RUFINO ROCHA LTDA,J,"R PEDRO SALVADOR DINIZ,1070",SANTANA / AP,96981170708,09.056.668/0001-25,30311934,,CENTRAL,,68925180,Ativo / Inativo,rochatecidos@hotmail.com,,
1101,W H F DA ROCHA EIRELI,J,"R SAO JOSE,2442",MACAPA / AP,91981176450,08.043.701/0001-10,30295831,,CENTRO,,68900902,Ativo / Inativo,rochatecidos@hotmail.com,,
1102,KANETEXTIL COM DE TECIDOS LTDA,J,"R JOLI,411",SAO PAULO / SP,11998367650,05.925.166/0001-32,116702162114,,BRAS,,3016020,Ativo / Inativo,kd-finos@bol.com.br,,
1103,MICELI & CIA LTDA,J,"AV AVENIDA VEREADOR TOALDO TULIO - DE 2376/2377 A 4129/4130,",CURITIBA / PR,4130133356,03.348.477/0001-50,9019222176,,SAO BRAZ,,82300332,Ativo / Inativo,armarinhosagulhadeouro@yahoo.com.br,,
1104,CARLOS GOMES FERREIRA AVARE,J,"R PERNAMBUCO,1556",AVARE / SP,1437323491,00.456.565/0001-88,194047647110,,CENTRO,,18705020,Ativo / Inativo,lojasrealavare@terra.com.br,,
1105,J C OLIVEIRA DA COSTA E CIA LTDA,J,"R TAPAJOS,2452",MACAPA / AP,91981170708,13.867.188/0001-11,30410177,,CENTRAL,,68900011,Ativo / Inativo,rochatecidos@hotmail.com,,
1106,GUILHERME & NELSON COMERCIO DE TECIDOS LTDA,J,"R SOUSA CALDAS,225",SAO PAULO / SP,11977361661,34.554.447/0001-24,126578250112,,BRAS,,3025040,Ativo / Inativo,pedidos@estilodepano.com.br,,
1107,DANIELLA B. RIBEIRO TECIDOS,J,"AV SAO PAULO,",GOIANIA / GO,6232939372,29.696.019/0001-04,107177846,,SETOR CAMPINAS,,74510030,Ativo / Ativo,tfbrepres.daniela@gmail.com,,
1108,MAKTUB CONFECCOES EIRELI,J,"R MARQUES DE HERVAL,",DUQUE DE CAXIAS / RJ,2136531916,31.379.666/0001-26,11288626,,JARDIM VINTE E CINCO DE AGOSTO,,25071200,Ativo / Inativo,diogodias23@hotmail.com,,
1109,SIMONTEX COM DE TEC E PENAS ARTIFICIAIS LTDA,J,"R DA MOOCA,2334",SAO PAULO / SP,119963729060,29.834.147/0001-69,119117970112,,MOOCA,SALA 01,3104002,Ativo / Ativo,contato@sotecidos.com,,
1110,RHALDERY PEREIRA DE SOUSA 07489394660,J,"R INHAZINHA EPIFANIO,260",DIVINOPOLIS / MG,37988222921,29.404.883/0001-87,31071620070,,SAO SEBASTIAO,,35500062,Ativo / Inativo,rhaldery@hotmail.com,,
1111,VENEZA TEXTIL EIRELI,J,"AV FERNANDO VILELA,532",UBERLANDIA / MG,3432177022,29.626.076/0001-09,31264130015,,MARTINS,,38400456,Ativo / Inativo,venezatextil@gmail.com,,
1112,COMERCIO DE MALHAS BOM JESUS LTDA,J,"R JOAQUIM COSTA,60",CAPANEMA / PA,91983650909,23.723.971/0001-65,155071858,,CENTRO,,68700160,Ativo / Ativo,edvancdm@gmail.com,,
1113,TECIDOS MOREIRA LTDA,J,"AV CIRCULAR,106",GOIANIA / GO,6232421470,01.078.831/0003-00,101763514,,SETOR PEDRO LUDOVICO,,74823020,Ativo / Inativo,sandro_emidio@hotmail.com,,
1114,DS MALHAS EIRELI ME,J,"AV PARANA,371",GOIANIA / GO,62993990101,29.552.806/0001-74,107159325,,SETOR CAMPINAS,QUADRA 108 LOTE 11 SALA 03,74513010,Ativo / Inativo,deusmarsilva@gmail.com,,
1115,ARTIS TECIDOS LTDA,J,"R ALMIRANTE BARROSO,278",SAO PAULO / SP,3732494200,13.989.927/0001-48,146298030116,,BRAS,,3025000,Ativo / Inativo,selma@estilodepano.com.br,,
1118,IKE-PANU S TECIDOS LTDA,J,"R ALMIRANTE BARROSO,581",SAO PAULO / SP,1122923112,08.176.012/0001-83,149358568112,,BRAS,,3025001,Ativo / Ativo,ikepanus.adm@gmail.com,,
1120,ALBERTO KIM TECIDOS EIRELI,J,"R ALMIRANTE BARROSO,204",SAO PAULO / SP,11957299925,04.886.647/0001-13,116310079110,,BRAS,,3025000,Ativo / Inativo,contato@albertokimtecidos.com.br,,
1121,FLAVIO LEONAN DE MELO,J,"RUA MONSENHOR LEAO,90",ENTRE RIOS DE MINAS / MG,3137511659,10.266.383/0001-06,10850130000,,CENTRO,,35490000,Ativo / Inativo,talitaconfeccoes2013@hotmail.com,,
1122,S F KURIHARA & CIA LTDA - EPP,J,"AV ARAPONGAS,600",ARAPONGAS / PR,4332521252,75.397.802/0001-86,6280095549,,CENTRO,,86701000,Ativo / Inativo,casanovohorizonte@yahoo.com.br,,
1123,TRANS APUCARANA TRANSPORTES RODOVIARIOS EIRELI,J,"R SOLDADO BENEDITO PATRICIO,100",SAO PAULO / SP,1122077466,07.770.042/0001-50,117214046112,,PARQUE NOVO MUNDO,,2176040,Ativo / Ativo,rh.sp@transapucarana.com.br,,
1124,VARIETE COMERCIAL LTDA,J,"AV CRISTIANO MACHADO,1950",BELO HORIZONTE / MG,3132018699,17.219.866/0001-90,623542130060,,CIDADE NOVA,LOJA 116,31170024,Ativo / Inativo,varietecomercial@gmail.com,,
1125,IND E COM DE CONFECCOES SCHOWAMBACH LTDA,J,"AV PREFEITO SAMUEL BATISTA CRUZ,5455",LINHARES / ES,2721036000,28.534.311/0001-50,81029390,,NOVA BETANIA,,29907515,Ativo / Inativo,alljarreau@alljarreau.com.br,,
1126,KUSSYM ARTIGOS DE ARMARINHOS LTDA,J,"R BLEY ZORNING,1533",CURITIBA / PR,4132871244,01.470.757/0001-01,9011590508,,BOQUEIRAO,,81730350,Ativo / Inativo,armarinhoszigzag@gmail.com,,
1127,CASA AMAZONAS DECORACOES LTDA,J,"AV PRESIDENTE TANCREDO DE ALMEIDA NEVES,271",MARILIA / SP,1434333555,06.983.949/0001-35,438218266119,,CENTRO,,17500041,Ativo / Inativo,juniorpiverotti@yahoo.com,,
1128,BELLA MARIA MODA EIRELI,J,"R DOM PEDRO II,0",SAO JOAO DE MERITI / RJ,2137537317,30.926.909/0001-36,11192360,,VILAR DOS TELES,CASA 1/LOTE19/QUADRA 27,25561062,Ativo / Inativo,bellamariario@gmail.com,,
1129,AUACHE & FILHOS LTDA,J,"AV GENEROSO MARQUES,525",CORONEL VIVIDA / PR,4632321342,82.205.956/0001-94,3130005089,,CENTRO,,85550000,Ativo / Inativo,njacomel2@yahoo.com,,
1130,ARMARINHOS BLEY ZORNIG LTDA,J,"R DOUTOR BLEY ZORNIG,1138",CURITIBA / PR,4133278291,34.488.859/0001-03,9082312444,,BOQUEIRAO,,81730350,Ativo / Inativo,compras@daiza.com.br,,
1131,O F RAVAGLIA GEDEON TECIDOS ME,J,"RUA DOUTOR OSORIO DE ALMEIDA,189",MIGUEL PEREIRA / RJ,24981172068,00.710.877/0001-76,84602639,,GOVERNADOR PORTELA,,26900000,Ativo / Inativo,elzaravagliagedeon@hotmail.com,,
1133,COMERCIAL TEXTIL SETTI LTDA,J,"AV BRASIL,805",FOZ DO IGUACU / PR,4535232361,33.865.070/0001-61,9081682752,,CENTRO,,85851000,Ativo / Inativo,bazarsetti@gmail.com,,
1134,ARMARINHOS OEST IMPORTADORA LTDA,J,"R MENDES GONCALVES,402",SAO PAULO / SP,1126189898,60.593.175/0001-81,109741680111,,BRAS,,3027010,Ativo / Inativo,hertei@terra.com.br,,
1135,LOJA DA DECORACAO COMERCIO DE TEC  LTDA,J,"R CARLOS DE LAET,5701",CURITIBA / PR,4130392558,30.757.639/0001-87,9078441701,,BOQUEIRAO,,81730030,Ativo / Inativo,finaceiro@armamdascortinas.com.br,,
1136,LUCIENE TECIDOS E CONFECCOES LTDA,J,"AV SEGUNDA,485",SERRA / ES,2733150799,10.999.030/0001-07,82655880,,LARANJEIRAS,,29165390,Ativo / Inativo,superfashion15@gmail.com,,
1137,CASA DO POVO TECIDOS E CONFECCOES LTDA,J,"R ARNOLDO SILVEIRA DE SOUZA,264",SAO JOSE / SC,4830241004,83.715.003/0001-39,250639726,,FAZENDA SANTO ANTONIO,,88104740,Ativo / Inativo,alfanacco@hotamail.com,,
1138,MALHARIA CANAA LTDA,J,"R ESTER,187",IPATINGA / MG,3138237601,33.782.073/0001-31,34582130038,,CANAA,,35164160,Ativo / Inativo,malhariacanaa.ipatinga@hotmail.com,,
1141,NEURACI T ANDRADE & CIA LTDA,J,"R CORONEL DULCIDIO,732",PONTA GROSSA / PR,4230252276,05.486.996/0001-00,9027349290,,CENTRO,,84010280,Ativo / Inativo,ideal.tecidos@hotmail.com,,
1142,EMPORIO DOS TECIDOS MARILIA EIRELI,J,"R SAO LUIZ,982",MARILIA / SP,14991235108,18.630.703/0001-69,438300237119,,CENTRO,,17500002,Ativo / Inativo,emporiodostecidos@hotmail.com,,
1143,MARCIA LEAO COMERCIO DE TECIDOS LTDA,J,"AV 4,266",RIO CLARO / SP,19999149129,11.551.333/0001-25,587313775116,,CENTRO,,13500420,Ativo / Ativo,tecidosexclusivos@gmail.com,,
1144,MARILIA LEAO TECIDOS LTDA,J,"R PRUDENTE DE MORAES,308",BEBEDOURO / SP,17981579733,08.573.285/0001-61,210136500118,,CENTRO,,14700120,Ativo / Inativo,guilherme@designtextecidos.com.br,,
1145,ART FASHION COMERCIO DE ROUPAS EIRELI,J,"AV PREFEITO FRANCISCO RIBEIRO NOGUEIRA,595",MOGI DAS CRUZES / SP,1132199349,10.490.844/0001-11,454671867114,,MOGI MODERNO,,8717490,Ativo / Ativo,financeiro@pedromotta.com.br,,
1146,DI TRAJAN CONFECCOES SOB MEDIDA LTDA,J,"R CECILIA SCHWARTZNANN,175",ARAGUARI / MG,3432415130,30.549.006/0001-83,32004230096,,PARAISO,,38445084,Ativo / Inativo,renato@ditrajan.com.br,,
1147,PAULISTANA - MALHAS E RETALHO LTDA,J,"Q CNG 2,19",BRASILIA TAGUATINGA / DF,61996334178,01.034.883/0001-13,769553300174,,TAGUATINGA NORTE,LOTE 17/21 - LOJA 21,72130025,Ativo / Inativo,emersondefl3@gmail.com,,
1148,IRENE E FERNANDES TECIDOS LTDA,J,"RUA SILVESTRE FERRAZ,48",SANTA RITA DO SAPUCAI / MG,3534712978,71.478.903/0001-20,5968692910058,,CENTRO,,37540000,Ativo / Inativo,irene_gn@hotmail.com,,
1149,J. C. COMERCIO TECIDOS  AVIAM.  ARTG  DE  ARM EIRELI,J,"R SAO SEBASTIAO,",CARUARU / PE,8137216623,07.225.476/0001-70,32217765,,NOSSA SENHORA DAS DORES,,55004130,Ativo / Inativo,crisfigueiredoluz@hotmail.com,,
1150,LOJA DORINHA LTDA,J,"RUA GOVERNADOR VALADARES,326",NOVA ERA / MG,31992712918,17.667.759/0001-25,4471117350080,,CENTRO,,35920000,Ativo / Inativo,l.dorinha@hotmail.com,,
1151,ETM TECIDOS EIRELI,J,"R SAO PAULO,611",GOVERNADOR VALADARES / MG,3332717931,04.861.070/0001-95,2771599150044,,CENTRO,,35010180,Ativo / Inativo,eduardotmgv@gmail.com,,
1152,SARA M. DA SILVA FERNANDES,J,"AV CINQUENTENARIO,986",ITABUNA / BA,7330152285,13.778.112/0001-10,12322758,,CENTRO,1 ANDAR 1 APT 102,45600006,Ativo / Inativo,idealtextel@outlook.com,,
1153,ARMARINHOS TRICOFIL LTDA - ME,J,"AV AVENIDA ARCHELAU DE ALMEIDA TORRES,97",ARAUCARIA / PR,4136421303,81.129.090/0001-17,1070211757,,CENTRO,,83702185,Ativo / Inativo,armarinhostricofil@hotmail.com,,
1154,POLAR TEXTIL LTDA-EPP,J,"R AMAZONAS,551",DIVINOPOLIS / MG,37999881828,26.379.616/0001-09,28496230023,,VILA BELO HORIZONTE,,35500028,Ativo / Inativo,nfepolartextil@gmail.com,,
1155,ROSARIA MARIA GABRIELLE,J,"AV SANTA LUZIA,1911",CARIACICA / ES,27981513777,21.323.640/0001-02,ISENTO,,PIRANEMA,,29148352,Ativo / Inativo,armarinhopiracema@gmail.com,,
1156,FRANCA COMERCIO DE TECIDOS CONFEC LTDA,J,"AV JERONIMO MONTEIRO,846",VITORIA / ES,2730240806,16.858.996/0001-00,82900850,,CENTRO,,29010004,Ativo / Inativo,guina.vargas@hotmail.com,,
1157,DATEX COMERCIO DE TECIDOS E AVIAMENTOS,J,"TV DOM PEDRO II,163",VILA VELHA / ES,2733394295,08.814.796/0001-28,82464812,,GLORIA,,29122305,Ativo / Inativo,datextecidos@bol.com.br,,
1158,YPE COMERCIO DE TECIDOS E AVIAMENT LTDA,J,"R DOM PEDRO II,533",VILA VELHA / ES,2733911661,03.328.494/0001-26,82022810,,GLORIA,LOJA A,29122300,Ativo / Inativo,ypetecidos@gmail.com,,
1159,HAVANA TEXTIL LTDA EPP,J,"BC ALVARO RAMOS,",CACHOEIRO DE ITAPEMIRIM / ES,2835223739,10.277.139/0001-30,82559350,,RECANTO,,29303045,Ativo / Inativo,havanatecidos@gmail.com,,
1160,R.L. INDUSTRIA E COMERCIO LTDA ME,J,"R TRINDADE,45",VILA VELHA / ES,2730751275,15.780.397/0001-59,82884897,,JARDIM GUADALAJARA,PAVMTO 2,29109030,Ativo / Ativo,malharialuiza@hotmail.com,,
1161,AMARAL SOUZA TRANSPORTES LTDA,J,"R MARINOPOLIS,1013",GUARULHOS / SP,1124821344,10.866.435/0004-10,336987182119,,JARDIM PRESIDENTE DUTRA,,7172100,Ativo / Ativo,reismtz@hotmail.com,,
1162,VERA LUCIA MARTINS DE ALMEIDA,J,"AV AVENIDA ABILIO MACHADO,1380",BELO HORIZONTE / MG,3134177275,05.018.388/0001-71,621711310017,,INCONFIDENCIA,,30820272,Ativo / Inativo,retalhaoaguiar@yahoo.com.br,,
1163,FABIO & MATHEUS MULTIMARCAS LTDA,J,"R ALMIRANTE BARROSO,481",SAO PAULO / SP,1334957956,15.224.146/0001-98,145097500118,,BRAS,TERREO,3025000,Ativo / Inativo,matheusefabiotecidos@live.com.br,,
1165,T. R. DE ANDRADE PEREIRA RODRIGUES,J,"R AVE BARAO DO RIO BRANCO,485",MARAPANIM / PA,9137213472,12.195.322/0001-12,153069228,,CENTRO,BOX 02,68760000,Ativo / Inativo,john_contel@hotmail.com,,
1166,RLT TECIDOS LTDA,J,"R DOM PEDRO II,146",VILA VELHA / ES,2732399429,04.154.791/0001-65,82083886,,GLORIA,,29122300,Ativo / Inativo,malharialuiza.gloria@hotmail.com,,
1167,DUARTE COMERCIO DE AVIAMENTOS LTDA,J,"R DA GLORIA,818",BLUMENAU / SC,4732095397,08.953.223/0001-85,255440103,,GLORIA,SALA  01,89025303,Ativo / Ativo,duarteaviamenetos@hotmail.com,,
1168,CAMILA DORNELLES DOS SANTOS,J,"R GILDO DE FREITAS,1567",CANOAS / RS,51982743003,28.592.592/0001-05,240500105,,OLARIA,,92035190,Ativo / Inativo,jasiane.bacellos@gmail.com,,
1169,ALFANA MAGAZINE LTDA,J,"AV JULIO ASSIS CAVALHEIRO,333",FRANCISCO BELTRAO / PR,4630552131,77.295.590/0001-51,3210141781,,CENTRO,,85601000,Ativo / Ativo,alfanafb@hotmail.com,,
1171,MALHARIA LINHARES LTDA EPP,J,"PC FRANCISCO ABRAHAO,",CACHOEIRO DE ITAPEMIRIM / ES,2835213498,39.636.527/0001-42,81685122,,CENTRO,,29300085,Ativo / Inativo,sul-malhas@hotmail.com,,
1172,J. OLIVEIRA NETTO - EPP,J,"AV GETULIO VARGAS,17",CARIACICA / ES,2730340010,08.961.636/0001-01,82476446,,CAMPO GRANDE,LOJA  A,29146070,Ativo / Inativo,malhariatextil@yahoo.com.br,,
1173,JULIANA BORDENALLE GUIMARAES 16611208810,J,"R DARIA GALVAO DA SILVA,251",SOROCABA / SP,11982975151,25.223.046/0001-09,669990111117,,JARDIM SANTA BARBARA,,18053368,Ativo / Inativo,julianabordanelle@hotmail.com,,
1174,LINCOMATEX COMERCIO DE TECIDOS EIRELI,J,"R MAJOR MARCELINO,325",SAO PAULO / SP,11982975151,03.277.302/0001-08,141840982111,,BRAS,,3025020,Ativo / Ativo,melo.noemia@hotmail.com,,
1175,AMAGUCHI TECIDOS AVIAMENTOS PATCHWORK LTDA,J,"AV JOAO SACAVEM,711",NAVEGANTES / SC,4733193169,17.085.808/0001-11,256875006,,CENTRO,,88370074,Ativo / Inativo,amaguchi@msn.com,,
1176,ADAMA COMERCIO DE TECIDOS EIRELI,J,"AV PAULO DE FRONTIN,331",RIO DE JANEIRO / RJ,2125605000,33.254.165/0001-49,11403972,,PRACA DA BANDEIRA,LOJA 02,20261240,Ativo / Inativo,roniwars@gmail.com,,
1177,R V COSTA OLIVEIRA,J,"R ANTONIO FERNANDES LEITE,372",HORTOLANDIA / SP,19988559341,10.956.302/0001-91,748149279114,,JARDIM SANTA IZABEL,CASA 2,13185230,Ativo / Inativo,rvcosta1@hotmail.com,,
1178,IKETEXTIL FASHION COMERCIO DE TECIDOS LTDA,J,"R JOAO BOEMER,682",SAO PAULO / SP,11996657165,15.276.104/0001-09,145129086119,,BRAS,,3018000,Ativo / Inativo,helio@agate.com.br,,
1179,MAKRO CENTRAL DE AVIAMENTOS LTDA,J,"ROD BR-470,",NAVEGANTES / SC,51993353631,00.460.986/0005-06,256269890,,VOLTA GRANDE,KM 13,88371890,Ativo / Inativo,nfe@centralimportadora.com.br,,
1180,CONFECCOES YPSLON EIRELI,J,"R GENERAL FLORES,275",SAO PAULO / SP,1126121900,56.525.983/0001-34,111637619114,,BOM RETIRO,,1129010,Ativo / Inativo,producao@ciaypslon.com.br,,
1181,O. V. DA SILVA TECIDOS - EPP,J,"PC MANOEL ANDRE,255",ARAPIRACA / AL,8235213721,07.542.672/0001-78,241069106,,CENTRO,,57300005,Ativo / Inativo,ozielarapiraca@gmail.com,,
1182,FABIO DOS SANTOS SANTANA,J,"R JOSE ANTONIO DE CAMPOS,565",REGISTRO / SP,13996274524,13.492.287/0001-66,574036927111,,CENTRO,,11900000,Ativo / Ativo,guilherme@designtextecidos.com.br,,
1183,MARILINHAS CONFECCOES E COMERCIO LTDA,J,"R XAVIER PINHEIRO,283",SANTOS / SP,13981250556,28.787.126/0001-77,633775726113,,VILA MATIAS,,11015090,Ativo / Inativo,guilherme@designtextecidos.com.br,,
1184,GARCIA & BARRETO  REPRESENTACOES COMERCIAIS LTDA,J,"R JOAO PESSOA,36",AMERICANA / SP,19991478619,12.981.343/0001-63,ISENTO,,VILA NOSSA SENHORA DE FATIMA,,13478610,Ativo / Ativo,tabyson@gmail.com,,
1185,MARIA IGNES FONSECA MILETTA 30744989191,J,"R DO LINHO,1386",SANTA BARBARA DOESTE / SP,19974013436,31.106.732/0001-94,606273281113,,CIDADE NOVA,********,13454429,Ativo / Inativo,cesarmiletta@outlook.com,,
1186,C.T.S. COMERCIO DE TECIDOS EIRELI,J,"R MENDES JUNIOR,246",SAO PAULO / SP,11986850055,35.632.067/0001-23,128183857111,,BRAS,********,3013010,Ativo / Inativo,cts.tecidos@gmail.com,,
1187,DAL COLETO CONFECCOES LTDA,J,"R R MAJOR REHDER,20",AMERICANA / SP,1934071284,20.110.196/0001-84,165248851110,,VILA REHDER,********,13465390,Ativo / Inativo,nereidedalcoleto@yahoo.com.br,,
1188,GRUPO SOLIDARIEDADE DA SNT CS  DE MISERIC DE  MOCOCA,J,"PC DOUTOR JEFERSON FERRAZ,90",MOCOCA / SP,1936569209,00.996.610/0001-97,,,CENTRO,,13730119,Ativo / Ativo,gruposolidariedademococa@yahoo.com.br,,
1189,ORIENTAL TECIDOS LTDA,J,"R R G THEOTONIO F DE ARAUJO,54",CAMPOS DOS GOYTACAZES / RJ,2227224314,28.933.604/0001-00,81003408,,CENTRO,********,28030002,Ativo / Inativo,asscomercialcampos@gmail.com,,
1190,ESMERALDA DA SILVA ROSA,J,"R BENJAMIN CONSTANT,590",GOIANIA / GO,6230913039,09.546.625/0001-28,104282592,,SETOR CAMPINAS,QD 79 LOTE 01,74525050,Ativo / Inativo,esmeraldatextil@hotmail.com,,
1192,A.W.J COMERCIO DE TECIDOS LTDA,J,"R 15 DE NOVEMBRO,72",GOIANIA / GO,6235865737,20.699.516/0001-83,106071661,,VILA CRISTINA CONTINUACAO,QUADRA12 LOTE 21,74584210,Ativo / Ativo,guilherme@designtextecidos.com.br,,
1193,RENATA NEIVA DE ALMEIDA,J,"RUA 14 A,",TRINDADE / GO,62981108111,19.392.366/0001-81,105869767,,SETOR BARCELOS,"QUADRA40,LOTE 14",75380000,Ativo / Ativo,mrkingmenswear@gmail.com,,
1194,RM TECIDOS LTDA,J,"AV PRINCESA ISABEL,426",VITORIA / ES,2732990726,28.590.229/0001-42,83353127,,CENTRO,LOJA 3-4-5-6-7-17-18,29010361,Ativo / Inativo,emporiodostecidosgloria@gmail.com,,
1195,J R DOS SANTOS ESTAMPARIA ME,J,"R FRANCISCO ASSUMPCAO DE CARVALHO,",VILA VELHA / ES,2730775009,29.035.386/0001-59,83365605,,JARDIM GUADALAJARA,,29109024,Ativo / Ativo,artes.stamparia@gmail.com,,
1196,WORK TEXTIL LTDA,J,"R R OURO PRETO,30",BELO HORIZONTE / MG,3135199292,27.096.335/0001-01,29128510011,,BARRO PRETO,********,30170040,Ativo / Inativo,worktextilltda@gmail.com,,
1197,ACTUAL TEXTIL LTDA,J,"RUA PARA DE MINAS,136",IGARATINGA / MG,3732323701,18.534.566/0001-69,21894180054,,CENTRO,,35695000,Ativo / Ativo,serconta@nwm.com.br,,
1198,KAVILISA AVIAMENTOS EIRELI,J,"AV PRESIDENTE GETULIO VARGAS,1259",OLINDA / PE,81997401500,33.411.834/0001-49,82507821,,BAIRRO NOVO,LOJA 01,53030010,Ativo / Bloqueado,kavilisa@hotmail.com,,
1200,ISABELLA FERNANDA FERREIRA DOS SANTOS UNIFORMES,J,"ROD JOAO GUALBERTO SOARES,274",FLORIANOPOLIS / SC,48996327110,32.050.307/0001-93,258933216,,INGLESES DO RIO VERMELHO,,88058300,Ativo / Ativo,ciadoguardapouniformes@gmail.com,,
1201,J RODRIGUES DE MELO,J,"AL OITO DE SETEMBRO,164",BELEM / PA,9132272764,05.106.851/0001-37,151135444,,ICOARACI,,66630505,Ativo / Inativo,tecimodas.confeccoes@hotmail.com,,
1202,VALE LOGISTICA E TRANSPORTE LTDA,J,"R R SANTA VITORIA,522",GUARULHOS / SP,1124015027,27.956.983/0002-71,796621211114,,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,BOX A,7223120,Ativo / Ativo,coleta@expressovale.com.br,,
1203,ROSANA FERREIRA CAZELLI,J,"AV AV ANTONIO CARLOS MAGALHAES,120",TEIXEIRA DE FREITAS / BA,73999866360,05.123.774/0001-23,57733753,,WILSON GUIMARAES SOARES,FUNDOS SUBSL,45987022,Ativo / Ativo,rosacazelli@hotmail.com,,
1204,PRIMO BAMBINO INDUSTRIA E COMERCIO LTDA,J,"R VOLUNTARIO RAMIRO TELES,607",UBERABA / MG,3433332174,03.231.761/0001-42,7010287690009,,VILA CELESTE,,38061230,Ativo / Ativo,financeiro@primobambino.com.br,,
1206,LEOTECI TECIDOS LTDA,J,"R AMADEU VIEIRA PORTO,240",ITAUNA / MG,3732436730,35.660.953/0001-60,36131840083,,SANTA MONICA,,35681219,Ativo / Inativo,leonardofernandes4@icloud.com,,
1207,TIAGO PEREIRA SILVA,J,"R PIRACICABA,",TRINDADE / GO,6291538168,34.991.863/0001-90,107802686,,SETOR JARDIM MARISTA,QDR 26 LT 12 CAS,75383510,Ativo / Inativo,tiago_silvagt@hotmail.com,,
1209,VALADARES TECIDOS LTDA,J,"R GABRIELA DE MELO,111",BELO HORIZONTE / MG,3121210077,20.628.152/0001-40,620300511840,,OLHOS D'AGUA,,30390080,Ativo / Inativo,valadares@valadarestecidos.com.br,,
1210,BAZAR PONTO SEM NO LTDA,J,"R TIROL,43",RIO DE JANEIRO / RJ,2124479073,73.499.717/0001-01,84965723,,FREGUESIA (JACAREPAGUA),,22750008,Ativo / Inativo,pontosemno@hotmail.com,,
1211,STANDOUT CONFECCOES DE ROUPAS LTDA,J,"R MILLER,452",SAO PAULO / SP,1122957570,12.063.933/0001-07,147253420111,,BRAS,,3011010,Ativo / Ativo,kiretexlauro@gmail.com,,
1212,TOSHIKIRE COMERCIO DE AVIAMENTOS EIRELI,J,"R JOLI,294",SAO PAULO / SP,1122927570,12.939.371/0001-12,147675715111,,BRAS,LOJAS 23 E 24,3016020,Ativo / Ativo,kiretexlauro@gmail.com,,
1213,R P TECIDOS LTDA,J,"PC DOM CRISTIANO,84",DIVINOPOLIS / MG,3732224441,86.411.535/0001-70,2238763200040,,CENTRO,SUBSL SUBSOLO,35500004,Ativo / Inativo,nfe@rptecidos.com.br,,
1214,BIANCA APARECIDA FONSECA QUEIROZ 12451094648,J,"R R MENDES MOURAO,822",DIVINOPOLIS / MG,37991979440,29.398.789/0001-62,31067280065,,AFONSO PENA,********,35500098,Ativo / Inativo,fernandotextill@gmail.com,,
1215,WN COMERCIO DO VESTUARIO LTDA,J,"R R FELIPE DOS SANTOS,382",BELO HORIZONTE / MG,31991949055,28.524.889/0001-25,30326100059,,LOURDES,LETRA A,30180160,Ativo / Inativo,guilherme@designtextecidos.com.br,,
1216,MARCIA CASTRO DE OLIVEIRA 05554074626,J,"AV AV DOUTOR CINCINATO CAJADO BRAGA,340",CONTAGEM / MG,31987278183,18.872.828/0001-03,22227160012,,NOVO ELDORADO,LOJA 04,32341310,Ativo / Inativo,oliveiracastromarcia@gmail.com,,
1218,M. VYNNER INDUSTRIA E COMERCIO DE CONFECCOES EIRELI,J,"RUA AV JOSE LUIZ MARINHO,142",ITALVA / RJ,2227834059,33.651.479/0001-85,11436757,,CENTRO,LOJA FUNDOS,28250000,Ativo / Inativo,escritoriowoss@gmail.com,,
1219,TOULON TECIDOS LTDA,J,"R R MIQUERINOS,1",SAO LUIS / MA,9832351227,03.251.054/0001-18,121706435,,JARDIM RENASCENCA,LOJA: QUATRO - EDF GOLDEN,65075038,Ativo / Inativo,toulontecidos@yahoo.com.br,,
1220,D MARI  LOCACAO TRANSPORTES E LOGISTICA LTDA,J,"R R SARGENTO MANUEL CHAGAS,653",SAO PAULO / SP,1133219000,11.970.436/0002-00,144667571111,,PARQUE NOVO MUNDO,********,2179040,Ativo / Ativo,gerenciasp1@dmarilogistica.com.br,,
